duration: 0y 0d 0h 0m 13s 274ms
finish_break: here
form-load-time: 1294008862491
form-submit-time: 1294008877251
jQuery.browser.safari: true
jQuery.browser.version: 534.13
jQuery.browser.webkit: true
navigator.appVersion: 5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.47 Safari/534.13
navigator.platform: Win32
navigator.userAgent: Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.13 (KHTML, like Gecko) Chrome/9.0.597.47 Safari/534.13
navigator.vendor: Google Inc.
screenAavilHeight: 760
screenAavilWidth: 1280
screenHeight: 800
screenWidth: 1280
task-0-duration-of-see-test: 716
task-0-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1ms3anjlxha47cehcip.png
task-0-is-correct-answer: true
task-0-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mi9a2alaca47zrkacw.png
task-0-time-of-doTask: 1294008867356
task-0-time-of-doneTask: 1294008871208
task-0-time-of-showExample: 1294008869379
task-0-time-of-showFirstHint: 1294008867870
task-0-time-of-showNoise: 1294008869481
task-0-time-of-showSecondHint: 1294008868371
task-0-time-of-showTest: 1294008870492
task-0_question: 1
task-1-duration-of-see-test: 959
task-1-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/azadwr60m62e141ia38.png
task-1-is-correct-answer: false
task-1-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a5a37r9lmuie39nt3pc.png
task-1-time-of-doTask: 1294008871250
task-1-time-of-doneTask: 1294008875326
task-1-time-of-showExample: 1294008873265
task-1-time-of-showFirstHint: 1294008871765
task-1-time-of-showNoise: 1294008873367
task-1-time-of-showSecondHint: 1294008872265
task-1-time-of-showTest: 1294008874367
task-10-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/alkvge2eby5l18lczvx.png
task-10-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3kp7eu7b0pl18cw6pcz.png
task-100-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2makaudl1ga36xdstsd.png
task-100-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3muxaaulq8a03sy2ih4.png
task-101-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3t1pi54bmhe06bgugle.png
task-101-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mj8os7ngig25uyto4a.png
task-102-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1kuba6rnqon18rn1ze6.png
task-102-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/algjsext_6ve25r0a30.png
task-103-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2fmfus1tlch170cua88.png
task-103-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/agfstu3cto6h17uusf8.png
task-104-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2atcvdletbs25jgb8ik.png
task-104-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/adac8vvbekos25vocrr.png
task-105-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2atcvdletbs25jgb8ik.png
task-105-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1ai9s2aoacm38zrkacw.png
task-106-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1bxteebnm2g049ofnar.png
task-106-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1g7klqnauhg26jbyt4l.png
task-107-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2sduy38l80h25mjbrov.png
task-107-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1sl2yfzlynh25s31zvf.png
task-108-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1aybu5sr75e11l74uml.png
task-108-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3ah3uzlr6ke10yegrta.png
task-109-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2kjaa8qnb8n06pgyghj.png
task-109-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/apkd0adan9xn17z3zlo.png
task-11-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mv0kp7h9fe23fynz9j.png
task-11-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/atavynxlgwee17h5n03.png
task-110-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/almjsyxta6vn15r0a30.png
task-110-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mumyhcarjn15j9zfdp.png
task-111-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mjzop5nxig06ntwsqi.png
task-111-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/aym0bojcngyg062dhix.png
task-112-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ayf0bujctgyu262dhix.png
task-112-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3f20umrtsfu07bl1s1r.png
task-113-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ambynepln5xg40zzw6q.png
task-113-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3bj1eppn96g40qx14u0.png
task-114-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/algvgl2eay5g41lczvx.png
task-114-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1gmalnxazog01lpzden.png
task-115-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a6g5zej7_zxe23381cc.png
task-115-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2g2zeak_zfe233hokbu.png
task-116-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a5a37s9louim05nt3pc.png
task-116-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1aakr1cmuce36o597f7.png
task-117-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3anovo9ek3s16cy1yu5.png
task-117-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3a9ks95oxsm04pcqgyw.png
task-118-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/aye0bsjctgyr202dhix.png
task-118-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1e2rsfytr8r20edbn79.png
task-119-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ayf0bujctgyu262dhix.png
task-119-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/axtdxivgblve07atgeo.png
task-12-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/apad0vdae9xs07z3zlo.png
task-12-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2msra0elxga35f0uve1.png
task-120-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3mbbk99hmne1943zy37.png
task-120-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3md7kxwhp0e08ygand5.png
task-121-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1gknr0aaben33g66938.png
task-121-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/algvgl2eay5g10lczvx.png
task-122-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1tfoiggbtle14wgo7n4.png
task-122-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1twhi2rbpde14yitmr1.png
task-123-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/avmlbakmg6qi12ipb1s.png
task-123-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mumahcgrji12j9zfdp.png
task-124-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3emva1jrtwl11hep7xn.png
task-124-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3a15sxdoddm08g8j4x8.png
task-125-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3ab0s31oykm28kwfyfm.png
task-125-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a5a37s9louim28nt3pc.png
task-126-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/atmvyaxlgwei09h5n03.png
task-126-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1aubr6rmqoe33rn1ze6.png
task-127-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3tamienbm6e08ftxi9f.png
task-127-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ayk0bejcbgyl232dhix.png
task-128-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3mebkt1h2se02nrdn77.png
task-128-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2fduu38t80h17mjbrov.png
task-129-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3mm0oktn6kg20ujezd1.png
task-129-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2mhnoivno4g20r8zjtm.png
task-13-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a6a8fn1ugr5e1185pbu.png
task-13-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mfooggntlg30wgo7n4.png
task-130-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1aakr1cmuce31o597f7.png
task-130-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2tpfiktbghe05hg1ofp.png
task-131-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2mboktjhese08x4s3qc.png
task-131-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a6afjrbvmuze05yrhm6.png
task-132-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1aakr1cmuce08o597f7.png
task-132-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2acfr5xmsge04axa56f.png
task-133-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3e20amrrsfl21bl1s1r.png
task-133-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/alejsaxtr6vl21r0a30.png
task-134-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a4m85y8na7gn013gst4.png
task-134-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mumyhcarjn01j9zfdp.png
task-135-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2enma1qrzul08fh14ls.png
task-135-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1ez5a9erb5l068sfxpy.png
task-136-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/apgd0rdaa9xn31z3zlo.png
task-136-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1ghcrjsaurn17fc4ngy.png
task-137-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2tpfiktbghe24hg1ofp.png
task-137-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3tamienbm6e24ftxi9f.png
task-138-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/avmlbakmg6qi12ipb1s.png
task-138-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3a9ks95oxsm04pcqgyw.png
task-139-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/apad0rdam9xe04z3zlo.png
task-139-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1a2xrm8m6de10u2nbih.png
task-14-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2anms1qozum30fh14ls.png
task-14-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/aym0bajcggyi142dhix.png
task-140-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2msra0elxga13f0uve1.png
task-140-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/aymn2ajalgma13di8h0.png
task-141-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1az5u9erb5e158sfxpy.png
task-141-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2apfuktrghe15hg1ofp.png
task-142-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1az5u9erb5e148sfxpy.png
task-142-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/alajsuxtr6ve14r0a30.png
task-143-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2kjaa8qnb8n06pgyghj.png
task-143-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3tamienbm6e06ftxi9f.png
task-144-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3jbba99wmni4043zy37.png
task-144-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2khwambnttn17eotcf1.png
task-145-example-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3kmve1jbtwl23hep7xn.png
task-145-test-url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a5b37e9lnuig05nt3pc.png
