calibration_task-0-keypress: {""altKey"":false,""charCode"":35,""ctrlKey"":false,""keyCode"":35,""metaKey"":false,""shiftKey"":true,""timeStamp"":1301728050304,""which"":35}
calibration_task-0-keypress_before_show_prompt_count: 0
calibration_task-0-reaction-time: 22292
calibration_task-0-time-of-doTask: 1302073626588
calibration_task-0-time-of-keypress: 1302073650304
calibration_task-0-time-of-showCharacters: 1302073628012
calibration_task-1-keypress: {""altKey"":false,""charCode"":35,""ctrlKey"":false,""keyCode"":35,""metaKey"":false,""shiftKey"":true,""timeStamp"":1301728053160,""which"":35}
calibration_task-1-keypress_before_show_prompt_count: 0
calibration_task-1-reaction-time: 268
calibration_task-1-time-of-doTask: 1302073651306
calibration_task-1-time-of-keypress: 1302073653160
calibration_task-1-time-of-showCharacters: 1302073652892
calibration_task-10-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":97,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301728090829,""which"":97}
calibration_task-10-keypress_before_show_prompt_count: 0
calibration_task-10-reaction-time: 336
calibration_task-10-time-of-doTask: 1302073689729
calibration_task-10-time-of-keypress: 1302073690830
calibration_task-10-time-of-showCharacters: 1302073690494
calibration_task-11-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":97,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301728093652,""which"":97}
calibration_task-11-keypress_before_show_prompt_count: 0
calibration_task-11-reaction-time: 297
calibration_task-11-time-of-doTask: 1302073691832
calibration_task-11-time-of-keypress: 1302073693652
calibration_task-11-time-of-showCharacters: 1302073693355
calibration_task-12-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":97,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301728095969,""which"":97}
calibration_task-12-keypress_before_show_prompt_count: 0
calibration_task-12-reaction-time: 311
calibration_task-12-time-of-doTask: 1302073694655
calibration_task-12-time-of-keypress: 1302073695969
calibration_task-12-time-of-showCharacters: 1302073695658
