calibration_task-0-keypress: {""altKey"":false,""charCode"":65,""ctrlKey"":false,""keyCode"":65,""metaKey"":false,""shiftKey"":true,""timeStamp"":1301727522025,""which"":65}
calibration_task-0-keypress_before_show_prompt_count: 0
calibration_task-0-reaction-time: 7655
calibration_task-0-time-of-doTask: 1302073112968
calibration_task-0-time-of-keypress: 1302073122026
calibration_task-0-time-of-showCharacters: 1302073114371
calibration_task-1-keypress: {""altKey"":false,""charCode"":65,""ctrlKey"":false,""keyCode"":65,""metaKey"":false,""shiftKey"":true,""timeStamp"":1301727526206,""which"":65}
calibration_task-1-keypress_before_show_prompt_count: 0
calibration_task-1-reaction-time: 1877
calibration_task-1-time-of-doTask: 1302073123040
calibration_task-1-time-of-keypress: 1302073126206
calibration_task-1-time-of-showCharacters: 1302073124329
calibration_task-10-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":97,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301727579380,""which"":97}
calibration_task-10-keypress_before_show_prompt_count: 0
calibration_task-10-reaction-time: 1160
calibration_task-10-time-of-doTask: 1302073177006
calibration_task-10-time-of-keypress: 1302073179380
calibration_task-10-time-of-showCharacters: 1302073178220
calibration_task-11-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":97,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301727582758,""which"":97}
calibration_task-11-keypress_before_show_prompt_count: 0
calibration_task-11-reaction-time: 974
calibration_task-11-time-of-doTask: 1302073180400
calibration_task-11-time-of-keypress: 1302073182758
calibration_task-11-time-of-showCharacters: 1302073181784
calibration_task-12-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":97,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301727585491,""which"":97}
calibration_task-12-keypress_before_show_prompt_count: 0
calibration_task-12-reaction-time: 435
calibration_task-12-time-of-doTask: 1302073183772
calibration_task-12-time-of-keypress: 1302073185491
calibration_task-12-time-of-showCharacters: 1302073185056
calibration_task-13-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":97,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301727589035,""which"":97}
calibration_task-13-keypress_before_show_prompt_count: 0
calibration_task-13-reaction-time: 1276
calibration_task-13-time-of-doTask: 1302073186504
calibration_task-13-time-of-keypress: 1302073189036
calibration_task-13-time-of-showCharacters: 1302073187760
calibration_task-14-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":97,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301727592856,""which"":97}
calibration_task-14-keypress_before_show_prompt_count: 0
calibration_task-14-reaction-time: 1378
calibration_task-14-time-of-doTask: 1302073190047
calibration_task-14-time-of-keypress: 1302073192856
calibration_task-14-time-of-showCharacters: 1302073191478
calibration_task-15-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":97,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301727595960,""which"":97}
calibration_task-15-keypress_before_show_prompt_count: 0
calibration_task-15-reaction-time: 833
calibration_task-15-time-of-doTask: 1302073193872
calibration_task-15-time-of-keypress: 1302073195961
