calibration_task-0-keypress: {""altKey"":false,""charCode"":35,""ctrlKey"":false,""keyCode"":0,""metaKey"":false,""shiftKey"":true,""timeStamp"":1301724931241,""which"":35}
calibration_task-0-keypress_before_show_prompt_count: 0
calibration_task-0-reaction-time: 9971
calibration_task-0-time-of-doTask: 1302070519880
calibration_task-0-time-of-keypress: 1302070531241
calibration_task-0-time-of-showCharacters: 1302070521270
calibration_task-1-keypress: {""altKey"":false,""charCode"":35,""ctrlKey"":false,""keyCode"":0,""metaKey"":false,""shiftKey"":true,""timeStamp"":1301724933760,""which"":35}
calibration_task-1-keypress_before_show_prompt_count: 0
calibration_task-1-reaction-time: 153
calibration_task-1-time-of-doTask: 1302070532246
calibration_task-1-time-of-keypress: 1302070533761
calibration_task-1-time-of-showCharacters: 1302070533608
calibration_task-10-keypress: {""altKey"":false,""charCode"":115,""ctrlKey"":false,""keyCode"":0,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301724963911,""which"":115}
calibration_task-10-keypress_before_show_prompt_count: 0
calibration_task-10-reaction-time: 252
calibration_task-10-time-of-doTask: 1302070562899
calibration_task-10-time-of-keypress: 1302070563911
calibration_task-10-time-of-showCharacters: 1302070563659
calibration_task-11-keypress: {""altKey"":false,""charCode"":115,""ctrlKey"":false,""keyCode"":0,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301724968850,""which"":115}
calibration_task-11-keypress_before_show_prompt_count: 1
calibration_task-11-reaction-time: 262
calibration_task-11-time-of-doTask: 1302070564915
calibration_task-11-time-of-keypress: 1302070568851
calibration_task-11-time-of-showCharacters: 1302070568589
calibration_task-12-keypress: {""altKey"":false,""charCode"":115,""ctrlKey"":false,""keyCode"":0,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301724970886,""which"":115}
calibration_task-12-keypress_before_show_prompt_count: 0
calibration_task-12-reaction-time: 280
calibration_task-12-time-of-doTask: 1302070569856
calibration_task-12-time-of-keypress: 1302070570886
calibration_task-12-time-of-showCharacters: 1302070570606
