assignmentId: 2PC0COK2JE1ML9V7CAIWCOZBL0JMTI
calibration_task-0-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230914259,"which":13}
calibration_task-0-keypress_before_show_prompt_count: 0
calibration_task-0-reaction-time: 8575
calibration_task-0-time-of-doTask: 1298898104981
calibration_task-0-time-of-keypress: 1298898114259
calibration_task-0-time-of-showCharacters: 1298898105684
calibration_task-1-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230916589,"which":13}
calibration_task-1-keypress_before_show_prompt_count: 0
calibration_task-1-reaction-time: 399
calibration_task-1-time-of-doTask: 1298898115264
calibration_task-1-time-of-keypress: 1298898116589
calibration_task-1-time-of-showCharacters: 1298898116190
calibration_task-10-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230938758,"which":13}
calibration_task-10-keypress_before_show_prompt_count: 0
calibration_task-10-reaction-time: 212
calibration_task-10-time-of-doTask: 1298898137431
calibration_task-10-time-of-keypress: 1298898138758
calibration_task-10-time-of-showCharacters: 1298898138546
calibration_task-11-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230941269,"which":13}
calibration_task-11-keypress_before_show_prompt_count: 0
calibration_task-11-reaction-time: 224
calibration_task-11-time-of-doTask: 1298898139762
calibration_task-11-time-of-keypress: 1298898141269
calibration_task-11-time-of-showCharacters: 1298898141045
calibration_task-12-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230944099,"which":13}
calibration_task-12-keypress_before_show_prompt_count: 0
calibration_task-12-reaction-time: 261
calibration_task-12-time-of-doTask: 1298898142272
calibration_task-12-time-of-keypress: 1298898144099
calibration_task-12-time-of-showCharacters: 1298898143838
calibration_task-13-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230946095,"which":13}
calibration_task-13-keypress_before_show_prompt_count: 0
calibration_task-13-reaction-time: 366
calibration_task-13-time-of-doTask: 1298898145103
calibration_task-13-time-of-keypress: 1298898146095
calibration_task-13-time-of-showCharacters: 1298898145729
calibration_task-14-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230948817,"which":13}
calibration_task-14-keypress_before_show_prompt_count: 0
calibration_task-14-reaction-time: 245
calibration_task-14-time-of-doTask: 1298898147096
calibration_task-14-time-of-keypress: 1298898148818
calibration_task-14-time-of-showCharacters: 1298898148573
calibration_task-15-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230951639,"which":13}
calibration_task-15-keypress_before_show_prompt_count: 0
calibration_task-15-reaction-time: 306
calibration_task-15-time-of-doTask: 1298898149819
calibration_task-15-time-of-keypress: 1298898151640
calibration_task-15-time-of-showCharacters: 1298898151334
calibration_task-16-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230954330,"which":13}
calibration_task-16-keypress_before_show_prompt_count: 0
calibration_task-16-reaction-time: 308
calibration_task-16-time-of-doTask: 1298898152643
calibration_task-16-time-of-keypress: 1298898154330
calibration_task-16-time-of-showCharacters: 1298898154022
calibration_task-17-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230957015,"which":13}
calibration_task-17-keypress_before_show_prompt_count: 0
calibration_task-17-reaction-time: 279
calibration_task-17-time-of-doTask: 1298898155332
calibration_task-17-time-of-keypress: 1298898157016
calibration_task-17-time-of-showCharacters: 1298898156737
calibration_task-18-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230959352,"which":13}
calibration_task-18-keypress_before_show_prompt_count: 0
calibration_task-18-reaction-time: 339
calibration_task-18-time-of-doTask: 1298898158018
calibration_task-18-time-of-keypress: 1298898159352
calibration_task-18-time-of-showCharacters: 1298898159013
calibration_task-19-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230962191,"which":13}
calibration_task-19-keypress_before_show_prompt_count: 0
calibration_task-19-reaction-time: 253
calibration_task-19-time-of-doTask: 1298898160354
calibration_task-19-time-of-keypress: 1298898162191
calibration_task-19-time-of-showCharacters: 1298898161938
calibration_task-2-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230918658,"which":13}
calibration_task-2-keypress_before_show_prompt_count: 0
calibration_task-2-reaction-time: 338
calibration_task-2-time-of-doTask: 1298898117593
calibration_task-2-time-of-keypress: 1298898118658
calibration_task-2-time-of-showCharacters: 1298898118320
calibration_task-20-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230964609,"which":13}
calibration_task-20-keypress_before_show_prompt_count: 0
calibration_task-20-reaction-time: 286
calibration_task-20-time-of-doTask: 1298898163192
calibration_task-20-time-of-keypress: 1298898164609
calibration_task-20-time-of-showCharacters: 1298898164323
calibration_task-21-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230967147,"which":13}
calibration_task-21-keypress_before_show_prompt_count: 0
calibration_task-21-reaction-time: 242
calibration_task-21-time-of-doTask: 1298898165611
calibration_task-21-time-of-keypress: 1298898167147
calibration_task-21-time-of-showCharacters: 1298898166905
calibration_task-22-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230969375,"which":13}
calibration_task-22-keypress_before_show_prompt_count: 0
calibration_task-22-reaction-time: 241
calibration_task-22-time-of-doTask: 1298898168150
calibration_task-22-time-of-keypress: 1298898169376
calibration_task-22-time-of-showCharacters: 1298898169135
calibration_task-23-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230971874,"which":13}
calibration_task-23-keypress_before_show_prompt_count: 0
calibration_task-23-reaction-time: 154
calibration_task-23-time-of-doTask: 1298898170379
calibration_task-23-time-of-keypress: 1298898171874
calibration_task-23-time-of-showCharacters: 1298898171720
calibration_task-24-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230974367,"which":13}
calibration_task-24-keypress_before_show_prompt_count: 0
calibration_task-24-reaction-time: 206
calibration_task-24-time-of-doTask: 1298898172877
calibration_task-24-time-of-keypress: 1298898174367
calibration_task-24-time-of-showCharacters: 1298898174161
calibration_task-3-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230921500,"which":13}
calibration_task-3-keypress_before_show_prompt_count: 0
calibration_task-3-reaction-time: 288
calibration_task-3-time-of-doTask: 1298898119662
calibration_task-3-time-of-keypress: 1298898121501
calibration_task-3-time-of-showCharacters: 1298898121213
calibration_task-4-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230924100,"which":13}
calibration_task-4-keypress_before_show_prompt_count: 0
calibration_task-4-reaction-time: 462
calibration_task-4-time-of-doTask: 1298898122511
calibration_task-4-time-of-keypress: 1298898124101
calibration_task-4-time-of-showCharacters: 1298898123639
calibration_task-5-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230926989,"which":13}
calibration_task-5-keypress_before_show_prompt_count: 0
calibration_task-5-reaction-time: 300
calibration_task-5-time-of-doTask: 1298898125104
calibration_task-5-time-of-keypress: 1298898126989
calibration_task-5-time-of-showCharacters: 1298898126689
calibration_task-6-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230929814,"which":13}
calibration_task-6-keypress_before_show_prompt_count: 0
calibration_task-6-reaction-time: 434
calibration_task-6-time-of-doTask: 1298898127991
calibration_task-6-time-of-keypress: 1298898129814
calibration_task-6-time-of-showCharacters: 1298898129380
calibration_task-7-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230932091,"which":13}
calibration_task-7-keypress_before_show_prompt_count: 0
calibration_task-7-reaction-time: 575
calibration_task-7-time-of-doTask: 1298898130817
calibration_task-7-time-of-keypress: 1298898132091
calibration_task-7-time-of-showCharacters: 1298898131516
calibration_task-8-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230934278,"which":13}
calibration_task-8-keypress_before_show_prompt_count: 0
calibration_task-8-reaction-time: 295
calibration_task-8-time-of-doTask: 1298898133095
calibration_task-8-time-of-keypress: 1298898134279
calibration_task-8-time-of-showCharacters: 1298898133984
calibration_task-9-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301230936428,"which":13}
calibration_task-9-keypress_before_show_prompt_count: 0
calibration_task-9-reaction-time: 271
calibration_task-9-time-of-doTask: 1298898135280
calibration_task-9-time-of-keypress: 1298898136429
calibration_task-9-time-of-showCharacters: 1298898136158
duration: 0y 0d 0h 21m 58s 799ms
form-load-time: 1298898050765
form-submit-time: 1298899377974
jQuery.browser.safari: true
jQuery.browser.version: 534.7
jQuery.browser.webkit: true
navigator.appCodeName: ['Netscape', 'Mozilla']
navigator.appVersion: 5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.517.41 Safari/534.7
navigator.platform: Win32
navigator.userAgent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.517.41 Safari/534.7
navigator.vendor: Google Inc.
screenWidth: ['1280', '1024', '1280', '994', '1216', '2400']
submit: Submit
task-0-are-same: true
task-0-character-0-alphabet: korean
task-0-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1kudoqvr4pe39ufypkn.png
task-0-character-0-character-number: 39
task-0-character-0-id: a1udqv4pfypkn
task-0-character-1-alphabet: korean
task-0-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a5k37o9lruie39nt3pc.png
task-0-character-1-character-number: 39
task-0-character-1-id: a5379luit3pc
task-0-is-correct-answer: true
task-0-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise3.png
task-0-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise3.png
task-0-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise7.png
task-0-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise6.png
task-0-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise4.png
task-0-reaction-time: -1
task-0-time-of-doTask: 1298898274668
task-0-time-of-showCharacters: 1298898276258
task-1-are-same: true
task-1-character-0-alphabet: myanmar
task-1-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/ammynypla5xn25zzw6q.png
task-1-character-0-character-number: 25
task-1-character-0-id: amynpl5xzw6q
task-1-character-1-alphabet: myanmar
task-1-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3mqayt9aqkn256qumi2.png
task-1-character-1-character-number: 25
task-1-character-1-id: a3qat9qkqumi2
task-1-is-correct-answer: true
task-1-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-1-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise7.png
task-1-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise7.png
task-1-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise7.png
task-1-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-1-reaction-time: -1
task-1-time-of-doTask: 1298898281269
task-1-time-of-showCharacters: 1298898282461
task-10-are-same: true
task-10-character-0-alphabet: inuktitut
task-10-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1iw3nfou0dk0277cf5t.png
task-10-character-0-character-number: 02
task-10-character-0-id: a1w3fo0d7cf5t
task-10-character-1-alphabet: inuktitut
task-10-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a2iernnxue6k020jlm4x.png
task-10-character-1-character-number: 02
task-10-character-1-id: a2ernxe6jlm4x
task-10-is-correct-answer: true
task-10-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise6.png
task-10-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise2.png
task-10-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-10-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise5.png
task-10-noise-image-4-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise3.png
task-10-reaction-time: -1
task-10-time-of-doTask: 1298898325150
task-10-time-of-showCharacters: 1298898326073
task-100-are-same: false
task-100-character-0-alphabet: myanmar
task-100-character-0-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a1mfoyggatln32wgo7n4.png
task-100-character-0-character-number: 32
task-100-character-0-id: a1foggtlgo7n4
task-100-character-1-alphabet: sylheti
task-100-character-1-anonymous_url: http://scripts.mit.edu/~jgross/alphabets/results/accepted-images/a3snpy21laph17vfa18b.png
task-100-character-1-character-number: 17
task-100-character-1-id: a3np21apfa18b
task-100-is-correct-answer: true
task-100-keypress: {"altKey":false,"charCode":13,"ctrlKey":false,"keyCode":13,"metaKey":false,"shiftKey":false,"timeStamp":1301231612867,"which":13}
task-100-keypress_before_show_prompt_count: 0
task-100-noise-image-0-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise9.png
task-100-noise-image-1-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise0.png
task-100-noise-image-2-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise8.png
task-100-noise-image-3-url: http://jgross.scripts.mit.edu/alphabets/images/strokeNoise8.png
