calibration_task-0-keypress: {""altKey"":false,""charCode"":107,""ctrlKey"":false,""keyCode"":107,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726383886,""which"":107}
calibration_task-0-keypress_before_show_prompt_count: 0
calibration_task-0-reaction-time: 5738
calibration_task-0-time-of-doTask: 1302071977486
calibration_task-0-time-of-keypress: 1302071983887
calibration_task-0-time-of-showCharacters: 1302071978149
calibration_task-1-keypress: {""altKey"":false,""charCode"":107,""ctrlKey"":false,""keyCode"":107,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726386923,""which"":107}
calibration_task-1-keypress_before_show_prompt_count: 0
calibration_task-1-reaction-time: 629
calibration_task-1-time-of-doTask: 1302071984890
calibration_task-1-time-of-keypress: 1302071986923
calibration_task-1-time-of-showCharacters: 1302071986294
calibration_task-10-keypress: {""altKey"":false,""charCode"":107,""ctrlKey"":false,""keyCode"":107,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726414291,""which"":107}
calibration_task-10-keypress_before_show_prompt_count: 0
calibration_task-10-reaction-time: 384
calibration_task-10-time-of-doTask: 1302072012592
calibration_task-10-time-of-keypress: 1302072014291
calibration_task-10-time-of-showCharacters: 1302072013907
calibration_task-11-keypress: {""altKey"":false,""charCode"":107,""ctrlKey"":false,""keyCode"":107,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726417124,""which"":107}
calibration_task-11-keypress_before_show_prompt_count: 0
calibration_task-11-reaction-time: 374
calibration_task-11-time-of-doTask: 1302072015295
calibration_task-11-time-of-keypress: 1302072017124
calibration_task-11-time-of-showCharacters: 1302072016750
calibration_task-12-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726420067,""which"":103}
calibration_task-12-keypress_before_show_prompt_count: 0
calibration_task-12-reaction-time: 369
calibration_task-12-time-of-doTask: 1302072018127
calibration_task-12-time-of-keypress: 1302072020067
calibration_task-12-time-of-showCharacters: 1302072019698
calibration_task-13-keypress: {""altKey"":false,""charCode"":107,""ctrlKey"":false,""keyCode"":107,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726422629,""which"":107}
calibration_task-13-keypress_before_show_prompt_count: 0
calibration_task-13-reaction-time: 341
calibration_task-13-time-of-doTask: 1302072021070
calibration_task-13-time-of-keypress: 1302072022629
calibration_task-13-time-of-showCharacters: 1302072022288
calibration_task-14-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726425512,""which"":103}
calibration_task-14-keypress_before_show_prompt_count: 0
calibration_task-14-reaction-time: 595
calibration_task-14-time-of-doTask: 1302072023631
calibration_task-14-time-of-keypress: 1302072025512
calibration_task-14-time-of-showCharacters: 1302072024917
calibration_task-15-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726427816,""which"":103}
calibration_task-15-keypress_before_show_prompt_count: 0
calibration_task-15-reaction-time: 576
calibration_task-15-time-of-doTask: 1302072026515
calibration_task-15-time-of-keypress: 1302072027816
calibration_task-15-time-of-showCharacters: 1302072027240
calibration_task-16-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726430394,""which"":103}
calibration_task-16-keypress_before_show_prompt_count: 0
calibration_task-16-reaction-time: 411
calibration_task-16-time-of-doTask: 1302072028819
calibration_task-16-time-of-keypress: 1302072030394
calibration_task-16-time-of-showCharacters: 1302072029983
calibration_task-17-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726432841,""which"":103}
calibration_task-17-keypress_before_show_prompt_count: 0
calibration_task-17-reaction-time: 479
calibration_task-17-time-of-doTask: 1302072031397
calibration_task-17-time-of-keypress: 1302072032841
calibration_task-17-time-of-showCharacters: 1302072032362
calibration_task-18-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726435204,""which"":103}
calibration_task-18-keypress_before_show_prompt_count: 0
calibration_task-18-reaction-time: 502
calibration_task-18-time-of-doTask: 1302072033845
calibration_task-18-time-of-keypress: 1302072035204
calibration_task-18-time-of-showCharacters: 1302072034702
calibration_task-19-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726437751,""which"":103}
calibration_task-19-keypress_before_show_prompt_count: 0
calibration_task-19-reaction-time: 385
calibration_task-19-time-of-doTask: 1302072036208
calibration_task-19-time-of-keypress: 1302072037751
calibration_task-19-time-of-showCharacters: 1302072037366
calibration_task-2-keypress: {""altKey"":false,""charCode"":107,""ctrlKey"":false,""keyCode"":107,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726389154,""which"":107}
calibration_task-2-keypress_before_show_prompt_count: 0
calibration_task-2-reaction-time: 434
calibration_task-2-time-of-doTask: 1302071987926
calibration_task-2-time-of-keypress: 1302071989154
calibration_task-2-time-of-showCharacters: 1302071988720
calibration_task-20-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726440102,""which"":103}
calibration_task-20-keypress_before_show_prompt_count: 0
calibration_task-20-reaction-time: 308
calibration_task-20-time-of-doTask: 1302072038754
calibration_task-20-time-of-keypress: 1302072040102
calibration_task-20-time-of-showCharacters: 1302072039794
calibration_task-21-keypress: {""altKey"":false,""charCode"":102,""ctrlKey"":false,""keyCode"":102,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726442744,""which"":102}
calibration_task-21-keypress_before_show_prompt_count: 0
calibration_task-21-reaction-time: 320
calibration_task-21-time-of-doTask: 1302072041110
calibration_task-21-time-of-keypress: 1302072042744
calibration_task-21-time-of-showCharacters: 1302072042424
calibration_task-22-keypress: {""altKey"":false,""charCode"":102,""ctrlKey"":false,""keyCode"":102,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726457529,""which"":102}
calibration_task-22-keypress_before_show_prompt_count: 0
calibration_task-22-reaction-time: 12389
calibration_task-22-time-of-doTask: 1302072043747
calibration_task-22-time-of-keypress: 1302072057529
calibration_task-22-time-of-showCharacters: 1302072045140
calibration_task-23-keypress: {""altKey"":false,""charCode"":102,""ctrlKey"":false,""keyCode"":102,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301726461763,""which"":102}
calibration_task-23-keypress_before_show_prompt_count: 0
