calibration_task-0-keypress: {""altKey"":false,""charCode"":118,""ctrlKey"":false,""keyCode"":118,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448651488,""which"":118}
calibration_task-0-keypress_before_show_prompt_count: 0
calibration_task-0-reaction-time: 23705
calibration_task-0-time-of-doTask: 1304362226626
calibration_task-0-time-of-keypress: 1304362251488
calibration_task-0-time-of-showCharacters: 1304362227783
calibration_task-1-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448654983,""which"":103}
calibration_task-1-keypress_before_show_prompt_count: 0
calibration_task-1-reaction-time: 1653
calibration_task-1-time-of-doTask: 1304362252502
calibration_task-1-time-of-keypress: 1304362254983
calibration_task-1-time-of-showCharacters: 1304362253330
calibration_task-10-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448682731,""which"":103}
calibration_task-10-keypress_before_show_prompt_count: 0
calibration_task-10-reaction-time: 566
calibration_task-10-time-of-doTask: 1304362280840
calibration_task-10-time-of-keypress: 1304362282731
calibration_task-10-time-of-showCharacters: 1304362282165
calibration_task-11-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448685786,""which"":103}
calibration_task-11-keypress_before_show_prompt_count: 0
calibration_task-11-reaction-time: 451
calibration_task-11-time-of-doTask: 1304362283733
calibration_task-11-time-of-keypress: 1304362285786
calibration_task-11-time-of-showCharacters: 1304362285335
calibration_task-12-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448688604,""which"":103}
calibration_task-12-keypress_before_show_prompt_count: 0
calibration_task-12-reaction-time: 247
calibration_task-12-time-of-doTask: 1304362286800
calibration_task-12-time-of-keypress: 1304362288605
calibration_task-12-time-of-showCharacters: 1304362288358
calibration_task-13-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448691131,""which"":103}
calibration_task-13-keypress_before_show_prompt_count: 0
calibration_task-13-reaction-time: 389
calibration_task-13-time-of-doTask: 1304362289608
calibration_task-13-time-of-keypress: 1304362291131
calibration_task-13-time-of-showCharacters: 1304362290742
calibration_task-14-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448693735,""which"":103}
calibration_task-14-keypress_before_show_prompt_count: 0
calibration_task-14-reaction-time: 832
calibration_task-14-time-of-doTask: 1304362292142
calibration_task-14-time-of-keypress: 1304362293735
calibration_task-14-time-of-showCharacters: 1304362292903
calibration_task-15-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448695851,""which"":103}
calibration_task-15-keypress_before_show_prompt_count: 0
calibration_task-15-reaction-time: 227
calibration_task-15-time-of-doTask: 1304362294751
calibration_task-15-time-of-keypress: 1304362295851
calibration_task-15-time-of-showCharacters: 1304362295624
calibration_task-16-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448697861,""which"":103}
calibration_task-16-keypress_before_show_prompt_count: 0
calibration_task-16-reaction-time: 348
calibration_task-16-time-of-doTask: 1304362296855
calibration_task-16-time-of-keypress: 1304362297861
calibration_task-16-time-of-showCharacters: 1304362297513
calibration_task-17-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448700677,""which"":103}
calibration_task-17-keypress_before_show_prompt_count: 0
calibration_task-17-reaction-time: 292
calibration_task-17-time-of-doTask: 1304362298864
calibration_task-17-time-of-keypress: 1304362300677
calibration_task-17-time-of-showCharacters: 1304362300385
calibration_task-18-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448703400,""which"":103}
calibration_task-18-keypress_before_show_prompt_count: 0
calibration_task-18-reaction-time: 292
calibration_task-18-time-of-doTask: 1304362301680
calibration_task-18-time-of-keypress: 1304362303401
calibration_task-18-time-of-showCharacters: 1304362303109
calibration_task-19-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448705758,""which"":103}
calibration_task-19-keypress_before_show_prompt_count: 0
calibration_task-19-reaction-time: 244
calibration_task-19-time-of-doTask: 1304362304415
calibration_task-19-time-of-keypress: 1304362305758
calibration_task-19-time-of-showCharacters: 1304362305514
calibration_task-2-keypress: {""altKey"":false,""charCode"":103,""ctrlKey"":false,""keyCode"":103,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448659422,""which"":103}
calibration_task-2-keypress_before_show_prompt_count: 0
calibration_task-2-reaction-time: 2245
calibration_task-2-time-of-doTask: 1304362255985
calibration_task-2-time-of-keypress: 1304362259422
calibration_task-2-time-of-showCharacters: 1304362257177
calibration_task-20-keypress: {""altKey"":false,""charCode"":121,""ctrlKey"":false,""keyCode"":121,""metaKey"":false,""shiftKey"":false,""timeStamp"":1304448713117,""which"":121}
calibration_task-20-keypress_before_show_prompt_count: 1
calibration_task-20-reaction-time: 498
calibration_task-20-time-of-doTask: 1304362306761
calibration_task-20-time-of-keypress: 1304362313117
calibration_task-20-time-of-showCharacters: 1304362312619
