calibration_task-0-keypress: {""altKey"":false,""charCode"":66,""ctrlKey"":false,""keyCode"":0,""metaKey"":false,""shiftKey"":true,""timeStamp"":1301727066074,""which"":66}
calibration_task-0-keypress_before_show_prompt_count: 0
calibration_task-0-reaction-time: 6463
calibration_task-0-time-of-doTask: 1302072658106
calibration_task-0-time-of-keypress: 1302072666075
calibration_task-0-time-of-showCharacters: 1302072659612
calibration_task-1-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":0,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301727074761,""which"":97}
calibration_task-1-keypress_before_show_prompt_count: 1
calibration_task-1-reaction-time: 332
calibration_task-1-time-of-doTask: 1302072667081
calibration_task-1-time-of-keypress: 1302072674761
calibration_task-1-time-of-showCharacters: 1302072674429
calibration_task-10-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":0,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301727101889,""which"":97}
calibration_task-10-keypress_before_show_prompt_count: 1
calibration_task-10-reaction-time: 242
calibration_task-10-time-of-doTask: 1302072697605
calibration_task-10-time-of-keypress: 1302072701889
calibration_task-10-time-of-showCharacters: 1302072701647
calibration_task-11-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":0,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301727104152,""which"":97}
calibration_task-11-keypress_before_show_prompt_count: 0
calibration_task-11-reaction-time: 262
calibration_task-11-time-of-doTask: 1302072702892
calibration_task-11-time-of-keypress: 1302072704152
calibration_task-11-time-of-showCharacters: 1302072703890
calibration_task-12-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":0,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301727106344,""which"":97}
calibration_task-12-keypress_before_show_prompt_count: 0
calibration_task-12-reaction-time: 231
calibration_task-12-time-of-doTask: 1302072705155
calibration_task-12-time-of-keypress: 1302072706345
calibration_task-12-time-of-showCharacters: 1302072706114
calibration_task-13-keypress: {""altKey"":false,""charCode"":97,""ctrlKey"":false,""keyCode"":0,""metaKey"":false,""shiftKey"":false,""timeStamp"":1301727111288,""which"":97}
calibration_task-13-keypress_before_show_prompt_count: 2
calibration_task-13-reaction-time: 151
