accepted-strokes/angelic/angelic_07_a1v73zozm07asa.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (112.11538461538461, 102.5).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_20_a1v73zozm07asa.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (90.0, 110.19230769230769).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_01_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (115.96153846153847, 109.23076923076923).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_02_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (107.30769230769231, 99.615384615384613).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_04_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (110.19230769230769, 90.961538461538467).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_05_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (109.23076923076924, 107.30769230769231).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_06_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (105.38461538461539, 109.23076923076923).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_07_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (105.38461538461539, 101.53846153846153).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_10_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (102.5, 115.0).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_12_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (97.692307692307693, 106.34615384615384).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_14_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (80.384615384615387, 115.96153846153847).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_15_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (102.5, 110.19230769230769).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_17_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (106.34615384615385, 104.42307692307692).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/angelic/angelic_18_a2px0aywtxngce.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (110.19230769230769, 102.5).  Scale factor is {'y': 0.96153846153846156, 'x': 0.96153846153846156}.
accepted-strokes/arcadian/arcadian_05_a2hhr703zzpfv0.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (97.094594594594597, 109.25675675675676).  Scale factor is {'y': 0.90090090090090091, 'x': 0.90090090090090091}.
accepted-strokes/arcadian/arcadian_11_a2hhr703zzpfv0.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (112.40990990990991, 96.64414414414415).  Scale factor is {'y': 0.90090090090090091, 'x': 0.90090090090090091}.
accepted-strokes/arcadian/arcadian_17_a2hhr703zzpfv0.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (96.193693693693689, 115.56306306306307).  Scale factor is {'y': 0.90090090090090091, 'x': 0.90090090090090091}.
accepted-strokes/arcadian/arcadian_18_a2hhr703zzpfv0.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (80.878378378378386, 106.55405405405406).  Scale factor is {'y': 0.90090090090090091, 'x': 0.90090090090090091}.
accepted-strokes/arcadian/arcadian_19_a2hhr703zzpfv0.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (90.788288288288285, 106.55405405405406).  Scale factor is {'y': 0.90090090090090091, 'x': 0.90090090090090091}.
accepted-strokes/arcadian/arcadian_22_a2hhr703zzpfv0.cstroke: Image size {'y': 105.0, 'x': 105.0} too small for stroke size (95.292792792792795, 107.45495495495496).  Scale factor is {'y': 0.90090090090090091, 'x': 0.90090090090090091}.
